id,customer_id,equipment_id,site_id,start_date,end_date,actual_return_date,daily_rate,total_cost,status,operator_name,carbon_footprint_kg,created_at
6fb6ab6b-5c80-468b-bf43-37045d1c983c,ce90fa9e-b930-467c-afb9-2c0c3f5a31a8,85cad606-dc05-4167-a201-7e5a5c0ff018,7b1ae744-a4ad-47c1-8b73-657133cf0956,2026-05-16,2026-07-10,2026-07-13,789.71,43434.05,completed,,1830.35,2026-05-10
1c8b5cf7-1002-4f22-8b4c-ac12201c0d13,662051b8-fb78-407a-b951-c5ff0ea3c966,156019e2-56eb-40f1-b489-21a0444b207d,5791500c-c684-4c24-a8de-874e8d0411bb,2026-01-19,2026-02-01,2026-02-01,1154.06,15002.78,completed,,230.29,2026-01-17
2b16b566-afa7-4320-8a2b-92ddc3ad4dac,cd65fec9-7248-44f5-bcb2-10f5841b02bc,9e54f4a2-20fc-4e8d-b589-6fd7cc04ae9b,ccab9b1f-614b-4950-b5eb-c05ed5a370e2,2026-05-12,2026-05-17,2026-05-19,251.16,1255.8,completed,Amanda Mcgee,30.66,2026-05-07
c5aa5cd6-6ae4-4632-ad04-68a83690c426,0b0f5fd2-9141-4623-9ab3-7b9414d43046,0e23fea6-ff21-41cd-8b6a-4f609072d564,f11a421c-db91-4007-8cd5-1a6be6d5d99c,2026-07-16,2026-07-30,,1527.79,21389.06,active,Sharon Marshall,149.72,2026-07-12
2537b92d-d126-4380-ae82-36be4a94faf0,c952a0f2-7625-4b7e-b1c9-927504aba3d2,210c0724-60bc-41f4-9acb-2ac925b626ad,28b34ddd-1ba6-44ed-b94f-a55e31bb89f4,2026-03-27,2026-04-17,2026-04-17,2983.25,62648.25,completed,Mrs. Nancy Diaz MD,349.42,2026-03-26
6553291f-35e6-4087-b66a-e48ad4116f70,8300e3b8-4e36-4cd0-9094-c6787c5d4fb9,a387491d-6043-436a-973c-8494e098cf26,9204067a-2c25-4cd7-8f3d-677dce9b85ec,2025-12-03,2025-12-07,2025-12-07,377.87,1511.48,completed,Ariana Ryan,139.05,2025-12-01
af7d3b77-1341-431c-899a-645f30e0d746,03bbff31-a890-4d49-a6df-3269f635750c,17916214-0191-4dca-a455-c111cbb71a77,7b1ae744-a4ad-47c1-8b73-657133cf0956,2025-10-29,2025-11-16,2025-11-16,1009.88,18177.84,completed,,742.93,2025-10-22
cd935f6d-d7e8-49d0-acd7-18f8504cf91e,051f3965-8927-4e21-aa88-d1eaccf7ff9b,7b26b146-0b8b-4b6f-a925-7226c0054069,18e4f8de-b43c-4e3a-a59b-67a0e05c44ba,2025-07-15,2025-08-06,2025-08-06,2363.5,51997.0,completed,,173.27,2025-07-10
8700f7ce-e7f6-4232-9c82-ab495b8c7853,70fc6cc4-7bba-43b6-8cd8-314987426792,d7510823-5557-4eac-845c-6f4030784241,9204067a-2c25-4cd7-8f3d-677dce9b85ec,2024-09-14,2024-10-02,2024-10-02,1771.9,31894.2,completed,,277.84,2024-09-09
e8fecb31-1e4c-46b0-b747-bcc75d2f69b1,fa1aba87-5e36-4b91-8fe6-51843a62ecd6,1b648b73-4d61-4583-9733-c63854f6e8bc,ca385e25-60e9-4fcd-8c5d-02ad6a78d891,2025-10-11,2025-10-31,2025-10-30,2303.28,46065.6,completed,Alex Smith,927.58,2025-10-05
33b558d7-1386-44d4-b36b-720c23bf6863,124bd83d-5184-4007-bb65-d189bf5495e8,5ae99346-70e5-4ecd-a761-37fc492ec014,ca385e25-60e9-4fcd-8c5d-02ad6a78d891,2024-08-18,2024-09-09,2024-09-09,1659.77,36514.94,completed,Deborah Perez,158.57,2024-08-16
839c5585-ceb1-4623-9ac0-1c7e3d058e5a,cd65fec9-7248-44f5-bcb2-10f5841b02bc,d578e2cc-0219-4fb4-9f27-1fdc4bdee739,22c34c91-27dc-476d-a886-e057e6eeee26,2026-04-26,2026-05-16,,828.09,16561.8,cancelled,Mark Davis,481.54,2026-04-22
d05ff12c-3201-4fe4-b50a-0148014ce5fb,abef463b-a7a9-4e1a-a64f-c53d41cebf1d,2407b3e1-e827-4934-b475-37ac8507d2b5,12f5e931-0a8f-4acb-80b5-90d9b62c5d6e,2025-11-20,2025-12-15,2025-12-14,1994.24,49856.0,completed,Scott Patterson,174.89,2025-11-18
c440c5a4-3f6e-4093-ae03-b0c53ebbe8a3,70fc6cc4-7bba-43b6-8cd8-314987426792,91eb547c-4954-4ad6-a700-7fbda71130ab,22c34c91-27dc-476d-a886-e057e6eeee26,2025-03-14,2025-04-02,2025-04-02,661.94,12576.86,completed,Ethan Farmer,283.99,2025-03-09
f672d112-419c-4f46-9cd2-e032d8764307,e7def941-4235-4802-83bb-ab6146c36cda,6eefc392-0b72-48dc-a5c8-10df35c151f3,12f5e931-0a8f-4acb-80b5-90d9b62c5d6e,2026-02-26,2026-02-27,2026-02-27,1116.06,1116.06,completed,Paul Herring,42.22,2026-02-24
ad8b0b87-d015-4787-95a3-185c90d8baa5,cd65fec9-7248-44f5-bcb2-10f5841b02bc,a77dbbfa-51a1-4ce9-82b3-4e4fe12e64a2,7b1ae744-a4ad-47c1-8b73-657133cf0956,2024-12-28,2024-12-29,2024-12-30,1062.06,1062.06,completed,,35.41,2024-12-26
cda469a5-dd21-4c9e-86e4-a125d6819671,ce90fa9e-b930-467c-afb9-2c0c3f5a31a8,bd48f4eb-f956-4bb1-ac06-a1f66fd2f811,ccab9b1f-614b-4950-b5eb-c05ed5a370e2,2025-05-17,2025-05-18,2025-05-21,1065.4,1065.4,completed,Adrian Ayers,26.99,2025-05-13
be8e2968-7f4e-4784-8034-4eb8ba36a8f4,a14deceb-f9b0-4286-a069-9c291a911000,5c29d236-4463-4b2f-a1d6-4d3174be2073,7b1ae744-a4ad-47c1-8b73-657133cf0956,2026-06-03,2026-06-14,2026-06-15,1285.7,14142.7,completed,Denise Mathews,179.88,2026-06-01
aed9df39-6da3-4eb3-b3e4-a062d119ea9b,926a6948-12d2-420d-b960-eaaca6965dbd,8642a224-72f3-4822-bb82-8942f8a3085a,5b0b32e2-808a-4b8e-8b76-50566911c4f5,2026-04-30,2026-05-01,2026-05-04,1113.17,1113.17,completed,Jill Hart,30.31,2026-04-28
e2a7e24b-29f3-42be-9b68-34c9b483bd97,4cd3d45f-6184-4db5-b59f-ba7054a54284,e5f9c625-ef35-4d40-b589-e5e8c7796840,ccab9b1f-614b-4950-b5eb-c05ed5a370e2,2025-01-31,2025-02-17,2025-02-17,312.06,5305.02,completed,Lisa Robbins,845.34,2025-01-28
ebc65d33-4dc7-492e-b18d-abefac8520eb,b66af76f-48bd-4406-837c-25c442ae34ae,ee728683-9a28-4358-bf02-a91e1797df03,18e4f8de-b43c-4e3a-a59b-67a0e05c44ba,2025-09-28,2025-09-29,2025-09-29,816.51,816.51,completed,Andrew Barber,7.02,2025-09-26
6fc2d31d-57ae-4e74-b95c-5fdbc4fd2047,bd93a9bb-94e7-4f6d-8f65-2dcf2da5d86b,3ccc9093-50a4-4700-9fe0-a226f1dce9ed,f11a421c-db91-4007-8cd5-1a6be6d5d99c,2026-05-12,2026-05-18,2026-05-17,2472.13,14832.78,completed,Lori Juarez,162.61,2026-05-06
6df5584f-6819-4817-8d30-5f9e059a7a15,c0db902a-4c4a-460d-81d9-b5e8b3c907e5,5642a992-bebb-41f3-a1d4-3bb12ba707ce,ccab9b1f-614b-4950-b5eb-c05ed5a370e2,2025-06-21,2025-07-04,2025-07-06,1167.38,15175.94,completed,Lauren Downs,243.91,2025-06-18
4cfcc040-9ef7-45c7-8df8-34b2d1ed72f3,4aafaf10-24f7-4d03-90f9-189f498d73df,78ab9fb2-0716-480a-9bad-035613f3b28e,22c34c91-27dc-476d-a886-e057e6eeee26,2025-02-19,2025-02-24,2025-02-25,918.25,4591.25,completed,William Santos,61.38,2025-02-12
af9ae52a-9d02-4b30-8257-b4c8036e6ee6,3d8caf5e-9d53-4f05-b29e-946dfba7efc1,d7a5d25c-f62d-4c8b-93eb-b9c95a477694,22c34c91-27dc-476d-a886-e057e6eeee26,2024-11-30,2024-12-07,2024-12-07,431.79,3022.53,completed,Daniel Estrada,213.7,2024-11-24
9297e3c4-3f4b-433a-aa2d-8fcef9a9f707,4cf6ec55-a7f7-463a-b26c-5fa9ecff193c,f20415e9-40e3-425d-ac11-41d3aa28248a,28b34ddd-1ba6-44ed-b94f-a55e31bb89f4,2026-01-12,2026-02-15,2026-02-15,2186.81,74351.54,completed,Raymond Perkins,654.21,2026-01-08
